#*OUTPUT CROSS
#*TABULATE SPIN-DEP CROSS SECTION IN X
#*
#   500.000000     SED
#    10.000000     QQ
#     1.000000     ALR
#     0.030000     X
#     0.005000     TPMIN
#     1.000000     TPMAX
#*
#*COL1 TP
#*COL2  FSIGMA, NEUTRON ACTIVE, IPOL =  1
#*COL3  FSIGMA, NEUTRON ACTIVE, IPOL = -1
#*COL4  ASYM, CALCULATED ASYMETRY
  0.79603 .37693E-01 .34112E-01 .49862E-01
  0.80100 .36943E-01 .33434E-01 .49862E-01
  0.80597 .36214E-01 .32774E-01 .49862E-01
  0.81095 .35503E-01 .32131E-01 .49862E-01
  0.81593 .34810E-01 .31504E-01 .49862E-01
  0.82090 .34136E-01 .30893E-01 .49862E-01
  0.82588 .33478E-01 .30298E-01 .49862E-01
  0.83085 .32837E-01 .29718E-01 .49862E-01
  0.83583 .32212E-01 .29152E-01 .49862E-01
  0.84080 .31603E-01 .28601E-01 .49862E-01
  0.84578 .31008E-01 .28063E-01 .49862E-01
  0.85075 .30429E-01 .27539E-01 .49862E-01
  0.85573 .29864E-01 .27027E-01 .49862E-01
  0.86070 .29312E-01 .26528E-01 .49862E-01
  0.86568 .28774E-01 .26041E-01 .49862E-01
  0.87065 .28249E-01 .25565E-01 .49862E-01
  0.87563 .27736E-01 .25102E-01 .49862E-01
  0.88060 .27236E-01 .24649E-01 .49862E-01
  0.88558 .26747E-01 .24207E-01 .49862E-01
  0.89055 .26270E-01 .23775E-01 .49862E-01
  0.89553 .25805E-01 .23354E-01 .49862E-01
  0.90050 .25350E-01 .22942E-01 .49862E-01
  0.90548 .24905E-01 .22540E-01 .49862E-01
  0.91045 .24471E-01 .22147E-01 .49862E-01
  0.91543 .24047E-01 .21763E-01 .49862E-01
  0.92040 .23633E-01 .21388E-01 .49862E-01
  0.92538 .23228E-01 .21021E-01 .49862E-01
  0.93035 .22832E-01 .20663E-01 .49862E-01
  0.93533 .22445E-01 .20313E-01 .49862E-01
  0.94030 .22066E-01 .19970E-01 .49862E-01
  0.94528 .21696E-01 .19636E-01 .49862E-01
  0.95025 .21335E-01 .19308E-01 .49862E-01
  0.95523 .20981E-01 .18988E-01 .49862E-01
  0.96020 .20635E-01 .18675E-01 .49862E-01
  0.96518 .20296E-01 .18368E-01 .49862E-01
  0.97015 .19965E-01 .18068E-01 .49862E-01
  0.97513 .19641E-01 .17775E-01 .49862E-01
  0.98010 .19324E-01 .17488E-01 .49862E-01
  0.98508 .19013E-01 .17207E-01 .49862E-01
  0.99005 .18709E-01 .16932E-01 .49862E-01
  0.99503 .18412E-01 .16663E-01 .49862E-01
  1.00000 .18121E-01 .16400E-01 .49862E-01
